markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
34,1,33,1028,289,Fox,Loc_01,2016-10-05 03:11:15,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161005-03-11-15-IMG_0002.jpg,Cam1,Loc_01_Cam1,2.37916296038185,0.00153784379794194,834.022588710336,0.99781915480837,5,0.199563830961674,9
43,141,34,1375,543,Fox,Loc_01,2016-10-06 03:05:26,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161006-03-05-26-IMG_0142.jpg,Cam1,Loc_01_Cam1,3.04106808291245,0.134945793269405,1050.62205914138,1.83322441667394,3,0.611074805557981,6
49,151,35,1220,354,Fox,Loc_01,2016-10-10 00:32:29,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161010-00-32-29-IMG_0152.jpg,Cam1,Loc_01_Cam1,2.47148154957514,0.0753543460991551,916.281500980979,0.836080004036667,2,0.418040002018333,3
52,170,36,1286,699,Fox,Loc_01,2016-10-12 06:33:45,C:/Users/nash.l/Documents/Processed photos/point 01 phase 1 zoo/Loc_01-20161012-06-33-45-IMG_0171.jpg,Cam1,Loc_01_Cam1,4.10823251263839,0.100728768765197,1824.42652496519,3.14940753589049,6,0.524901255981748,10
99,550,74,958,748,Fox,Loc_02,2016-10-20 01:50:53,C:/Users/nash.l/Documents/Processed photos/point 02 phase 2 zoo/Loc_02-20161020-01-50-53-IMG_0521.jpg,Cam1,Loc_02_Cam1,8.22528634238072,-0.025374422666042,820.190039324776,2.71948959928701,3,0.906496533095671,5
147,800,118,926,710,Fox,Loc_03,2016-10-05 23:02:17,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161005-23-02-17-IMG_0071.jpg,Cam5,Loc_03_Cam5,3.95716140402472,-0.0376771730495776,544.333733382001,1.27021397646002,2,0.635106988230008,3
150,810,119,736,678,Fox,Loc_03,2016-10-06 01:03:49,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161006-01-03-49-IMG_0081.jpg,Cam5,Loc_03_Cam5,3.45213952284583,-0.11072475345182,1035.57477023006,1.45111415256563,3,0.483704717521875,4
154,830,120,1565,493,Fox,Loc_03,2016-10-11 00:35:10,C:/Users/nash.l/Documents/Processed photos/point 03 phase 1 zoo/Loc_03-20161011-00-35-10-IMG_0101.jpg,Cam5,Loc_03_Cam5,2.68346234962655,0.207993373671648,1068.78295270836,1.09892876728784,1,1.09892876728784,2
157,2650,122,682,443,Fox,Loc_04,2016-10-21 04:20:17,C:/Users/nash.l/Documents/Processed photos/point 04 phase 2 zoo/Loc_04-20161021-04-20-17-IMG_2171.jpg,Cam5,Loc_04_Cam5,3.95883616555673,-0.131485644724036,858.457337320848,1.40312337987122,1,1.40312337987122,2
236,3680,200,-687,19,Fox,Loc_05,2016-10-10 04:04:39,C:/Users/nash.l/Documents/Processed photos/point 05 phase 1/Loc_05-20161010-04-04-39-Loc_5-IMG_0301-20161010-04-04-39.jpg,RP5,Loc_05_RP5,1.20697648628353,-0.657812684569665,124,0.0579394661513127,10,0.00579394661513127,2
251,3420,214,818,738,Fox,Loc_05,2016-10-05 03:27:07,C:/Users/nash.l/Documents/Processed photos/point 05 phase 1/Loc_05-20161005-03-27-07-Loc_5-IMG_0041-20161005-03-27-07.jpg,RP5,Loc_05_RP5,3.67938009009896,-0.07919895559401,584.030821104503,0.872335768484462,1,0.872335768484462,2
253,3630,215,720,600,Fox,Loc_05,2016-10-10 00:03:58,C:/Users/nash.l/Documents/Processed photos/point 05 phase 1/Loc_05-20161010-00-03-58-Loc_5-IMG_0251-20161010-00-03-58.jpg,RP5,Loc_05_RP5,2.48939509442198,-0.116876128643588,936.91034789888,1.47776255434746,1,1.47776255434746,2
255,3710,216,854,752,Fox,Loc_05,2016-10-10 05:39:13,C:/Users/nash.l/Documents/Processed photos/point 05 phase 1/Loc_05-20161010-05-39-13-Loc_5-IMG_0331-20161010-05-39-13.jpg,RP5,Loc_05_RP5,3.8669124806696,-0.0653583614125325,692.014190488599,1.29041786951672,7,0.18434540993096,8
263,3900,217,435,533,Fox,Loc_05,2016-10-15 03:09:58,C:/Users/nash.l/Documents/Processed photos/point 05 phase 1/Loc_05-20161015-03-09-58-Loc_5-IMG_0521-20161015-03-09-58.jpg,RP5,Loc_05_RP5,2.20868058139146,-0.226447499246951,1055.00710898079,1.21087223352777,1,1.21087223352777,2
302,4470,255,785,753,Fox,Loc_07,2016-10-14 05:45:24,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161014-05-45-24-IMG_0861.jpg,Cam2,Loc_07_Cam2,6.63449489238461,-0.091886166927031,165.759552973538,0.871084672219876,6,0.145180778703313,10
312,4510,256,314,327,Fox,Loc_07,2016-10-15 03:59:56,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161015-03-59-56-IMG_0961.jpg,Cam2,Loc_07_Cam2,2.47937909747465,-0.272967274134695,26.1725046566048,0.111572101932885,4.01122685185185,0.027814956883173,2
315,4560,258,609,450,Fox,Loc_07,2016-10-16 05:04:10,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161016-05-04-10-IMG_1021.jpg,Cam2,Loc_07_Cam2,3.05584438661739,-0.159551294036476,682.630755030293,3.33695125867598,3,1.11231708622533,4
320,4830,260,1794,147,Fox,Loc_07,2016-10-19 01:27:55,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161019-01-27-55-IMG_1551.jpg,Cam2,Loc_07_Cam2,1.45330574142005,0.296034931103824,10,0.0150729855374639,2.80305555555556,0.00537734099047368,2
323,4870,262,420,546,Fox,Loc_07,2016-10-19 05:53:22,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161019-05-53-22-IMG_1591.jpg,Cam2,Loc_07_Cam2,3.79828077598923,-0.232214413489233,1344.28465767538,2.39671449828278,3,0.798904832760927,5
334,5000,269,1727,483,Fox,Loc_07,2016-10-21 01:05:22,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161021-01-05-22-IMG_1931.jpg,Cam2,Loc_07_Cam2,3.07387965576512,0.270276047488296,1393.69374422248,5.33952771992068,6,0.889921286653447,10
350,5190,275,918,591,Fox,Loc_07,2016-10-23 00:19:33,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161023-00-19-33-IMG_2171.jpg,Cam2,Loc_07_Cam2,4.1954035510003,-0.0407528606454614,1827.13439984453,3.81501190343137,9,0.423890211492375,16
368,5210,278,880,660,Fox,Loc_07,2016-10-23 00:19:48,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161023-00-19-48-IMG_2191.jpg,Cam2,Loc_07_Cam2,5.0578422128485,-0.0553623767259099,1192.86116603905,3.19681528945244,12,0.266401274121036,13
383,5231,281,1481,578,Fox,Loc_07,2016-10-23 00:22:07,C:/Users/nash.l/Documents/Processed photos/point 07 phase 2 zoo/Loc_07-20161023-00-22-07-IMG_2212.jpg,Cam2,Loc_07_Cam2,4.02569776462702,0.175698653914867,972.30938262537,1.62486010142647,2,0.812430050713236,3
427,5911,325,332,450,Fox,Loc_09,2016-10-21 00:26:56,C:/Users/nash.l/Documents/Processed photos/point 09 phase 2 zoo/Loc_09-20161021-00-26-56-IMG_0132.jpg,Cam3,Loc_09_Cam3,2.44052972206292,-0.266046977043956,134.600612016176,0.615725212326041,5,0.123145042465208,9
437,5921,327,1065,129,Fox,Loc_09,2016-10-21 00:33:32,C:/Users/nash.l/Documents/Processed photos/point 09 phase 2 zoo/Loc_09-20161021-00-33-32-IMG_0142.jpg,Cam3,Loc_09_Cam3,1.4889974339248,0.0157628989289049,526.707340342605,0.803373569765249,1,0.803373569765249,3
447,5951,332,755,362,Fox,Loc_09,2016-10-23 19:59:57,C:/Users/nash.l/Documents/Processed photos/point 09 phase 2 zoo/Loc_09-20161023-19-59-57-IMG_0172.jpg,Cam3,Loc_09_Cam3,2.35768033677992,-0.103419995411596,433.934585926075,0.677200622327855,1,0.677200622327855,3
476,6110,359,957,853,Hedgehog,Loc_10,2016-10-07 21:35:57,C:/Users/nash.l/Documents/Processed photos/point 10 phase 1/Loc_10-20161007-21-35-57-Loc_10-IMG_0151-20161007-21-35-57.jpg,RP2,Loc_10_RP2,3.40875688209054,-0.0257588836155275,867.563108915633,1.25184082721716,6,0.208640137869526,8
497,6261,372,-3,33,Hedgehog,Loc_11,2016-10-23 01:03:06,C:/Users/nash.l/Documents/Processed photos/point 11 phase 2/Loc_11-20161023-01-03-06-IMG_0112.jpg,RP5,Loc_11_RP5,0.798902071365997,-0.394841395121593,1272.82264846108,0.457700019355762,12,0.0381416682796469,19
516,6280,373,1442,240,Hedgehog,Loc_11,2016-10-23 01:03:26,C:/Users/nash.l/Documents/Processed photos/point 11 phase 2/Loc_11-20161023-01-03-26-IMG_0131.jpg,RP5,Loc_11_RP5,0.895508708214062,0.160704676884933,141.272726098448,0.0816591757404023,6,0.0136098626234004,10
580,6570,428,1455,619,Fox,Loc_12,2016-10-06 21:16:59,C:/Users/nash.l/Documents/Processed photos/point 12 phase 1/Loc_12-20161006-21-16-59-Loc_10-20161006-21-16-59-IMG_0051.jpg,RP11,Loc_12_RP11,2.08154067771612,0.165702669228244,967.324272339086,2.38966427341568,2,1.19483213670784,4
585,6580,430,1039,817,Fox,Loc_12,2016-10-07 01:05:15,C:/Users/nash.l/Documents/Processed photos/point 12 phase 1/Loc_12-20161007-01-05-15-Loc_10-20161007-01-05-15-IMG_0061.jpg,RP11,Loc_12_RP11,3.22979025107775,0.00576691424228228,632.05379517886,2.72704494409284,1,2.72704494409284,2
611,6730,455,1727,423,Fox,Loc_12,2016-10-08 00:09:41,C:/Users/nash.l/Documents/Processed photos/point 12 phase 1/Loc_12-20161008-00-09-41-Loc_10-20161008-00-09-41-IMG_0141.jpg,RP11,Loc_12_RP11,1.44825308311435,0.270276047488296,1061.13583281127,2.71729574835074,2,1.35864787417537,4
617,6750,458,1791,435,Fox,Loc_12,2016-10-08 23:13:55,C:/Users/nash.l/Documents/Processed photos/point 12 phase 1/Loc_12-20161008-23-13-55-Loc_10-20161008-23-13-55-IMG_0161.jpg,RP11,Loc_12_RP11,1.45442291179606,0.294881548255367,1175.58737220121,3.14368980977711,2,1.57184490488855,4
624,6780,462,1524,556,Fox,Loc_12,2016-10-09 21:44:55,C:/Users/nash.l/Documents/Processed photos/point 12 phase 1/Loc_12-20161009-21-44-55-Loc_10-20161009-21-44-55-IMG_0191.jpg,RP11,Loc_12_RP11,1.85511510555471,0.192230474742743,1104.56756084849,3.43645048870753,2,1.71822524435377,4
781,7500,603,603,603,Fox,Loc_15,2016-10-13 19:15:18,C:/Users/nash.l/Documents/Processed photos/point 15 phase 2 zoo/Loc_15-20161013-19-15-18-IMG_0111.jpg,Cam4,Loc_15_Cam4,4.04195602317009,-0.161858059733389,386.665634478147,1.26791820904966,4,0.316979552262415,7
790,7520,606,1097,581,Fox,Loc_15,2016-10-20 21:07:49,C:/Users/nash.l/Documents/Processed photos/point 15 phase 2 zoo/Loc_15-20161020-21-07-49-IMG_0161.jpg,Cam4,Loc_15_Cam4,3.62151459247235,0.0280656493124404,696.704704922617,1.65062533695343,6,0.275104222825571,10
801,7530,608,896,770,Fox,Loc_15,2016-10-20 21:07:58,C:/Users/nash.l/Documents/Processed photos/point 15 phase 2 zoo/Loc_15-20161020-21-07-58-IMG_0171.jpg,Cam4,Loc_15_Cam4,4.87219821288585,-0.0492110015341421,449.49447555347,1.26601580701647,1,1.26601580701647,3
806,7550,611,698,661,Fox,Loc_15,2016-10-21 19:09:56,C:/Users/nash.l/Documents/Processed photos/point 15 phase 2 zoo/Loc_15-20161021-19-09-56-IMG_0191.jpg,Cam4,Loc_15_Cam4,4.28346873405872,-0.125334269532268,1337.15521924005,2.28576571421256,2,1.14288285710628,4
812,7570,614,1098,578,Fox,Loc_15,2016-10-21 19:21:31,C:/Users/nash.l/Documents/Processed photos/point 15 phase 2 zoo/Loc_15-20161021-19-21-31-IMG_0211.jpg,Cam4,Loc_15_Cam4,3.60871523195165,0.0284501102619259,867.96609699221,2.39664696652214,6,0.399441161087023,10
826,7710,619,546,746,Hedgehog,Loc_16,2016-10-05 05:16:28,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161005-05-16-28-IMG_0251.jpg,Cam4,Loc_16_Cam4,4.567232691001,-0.183772333854062,912.091118375118,2.23100840422401,6,0.371834734037334,10
836,7720,620,1184,734,Hedgehog,Loc_16,2016-10-05 05:16:39,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161005-05-16-39-IMG_0261.jpg,Cam4,Loc_16_Cam4,5.25636944309923,0.0615137519176776,1150.90325416707,2.45541074269446,3,0.818470247564819,5
912,8090,692,1895,183,Hedgehog,Loc_16,2016-10-10 02:00:43,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-00-43-IMG_0881.jpg,Cam4,Loc_16_Cam4,1.80626284280542,0.334865487001858,356.171918371503,1.72852559778303,5,0.345705119556607,9
921,8100,693,1858,621,Hedgehog,Loc_16,2016-10-10 02:02:04,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-02-04-IMG_0891.jpg,Cam4,Loc_16_Cam4,4.81800845090137,0.320640431870895,750.020823191416,3.40570832885838,4,0.851427082214596,7
928,8110,694,62,689,Hedgehog,Loc_16,2016-10-10 02:29:06,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-29-06-IMG_0901.jpg,Cam4,Loc_16_Cam4,3.83613956632127,-0.369851433405037,955.236931824897,1.95747818013226,6,0.326246363355377,10
938,8120,695,1358,741,Hedgehog,Loc_16,2016-10-10 02:29:16,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-29-16-IMG_0911.jpg,Cam4,Loc_16_Cam4,5.55635040212149,0.128409957128152,261.906197870252,0.771012165352878,6,0.128502027558813,10
948,8130,696,1319,669,Hedgehog,Loc_16,2016-10-10 02:29:40,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-29-40-IMG_0921.jpg,Cam4,Loc_16_Cam4,4.82247631589659,0.113415980098218,431.294426611713,1.29680260818581,6,0.216133768030968,10
958,8140,697,1345,567,Hedgehog,Loc_16,2016-10-10 02:30:09,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-30-09-IMG_0931.jpg,Cam4,Loc_16_Cam4,4.01305868997018,0.123411964784841,124.511065763918,0.243372589484717,6,0.0405620982474528,10
968,8150,698,1558,585,Hedgehog,Loc_16,2016-10-10 02:30:21,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-30-21-IMG_0941.jpg,Cam4,Loc_16_Cam4,4.27020912481403,0.205302147025249,455.901460773697,1.37192413954401,5,0.274384827908802,10
978,8160,699,260,743,Hedgehog,Loc_16,2016-10-10 02:31:54,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-02-31-54-IMG_0951.jpg,Cam4,Loc_16_Cam4,4.23511511139988,-0.293728165406911,230.367098345228,0.412594835154604,1,0.412594835154604,2
981,8170,701,1003,703,Fox,Loc_16,2016-10-10 19:02:18,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161010-19-02-18-IMG_0991.jpg,Cam4,Loc_16_Cam4,4.78562633037519,-0.00807367993919519,614.12664006989,1.83398185911958,7,0.261997408445655,10
992,8261,703,292,578,Fox,Loc_16,2016-10-11 19:11:48,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161011-19-11-48-IMG_1102.jpg,Cam4,Loc_16_Cam4,3.57159961626408,-0.281425415023375,1562.75106169994,2.00687495910693,1,2.00687495910693,3
997,8270,706,1339,752,Fox,Loc_16,2016-10-11 19:12:01,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161011-19-12-01-IMG_1111.jpg,Cam4,Loc_16_Cam4,5.64360932161403,0.121105199087928,154.446877157198,0.471608588220001,6,0.0786014313700002,10
1007,8280,707,1232,748,Fox,Loc_16,2016-10-11 19:12:32,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161011-19-12-32-IMG_1121.jpg,Cam4,Loc_16_Cam4,5.45166338092069,0.0799678774929809,526.095256598862,1.41363058031005,2,0.706815290155024,4
1012,8290,709,2042,519,Hedgehog,Loc_16,2016-10-11 19:51:28,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161011-19-51-28-IMG_1131.jpg,Cam4,Loc_16_Cam4,3.90099906776136,0.391381246576224,2004.78190855765,2.99998910378925,6,0.499998183964875,10
1023,8360,711,755,372,Fox,Loc_16,2016-10-12 20:59:59,C:/Users/nash.l/Documents/Processed photos/point 16 phase 1 zoo/Loc_16-20161012-20-59-59-IMG_1201.jpg,Cam4,Loc_16_Cam4,2.83122150814283,-0.103419995411596,964.742780955382,3.63751521430839,6,0.606252535718065,8
1032,5490,713,2028,535,Fox,Loc_08,2016-10-03 20:19:31,C:/Users/nash.l/Documents/Processed photos/point 08 phase 1 zoo/Loc_08-20161003-20-19-31-IMG_0011.jpg,Cam3,Loc_08_Cam3,3.42846642248432,0.385998793283427,369.771033306046,0.621751967201286,5,0.124350393440257,10
1102,5722,774,1462,619,Fox,Loc_08,2016-10-08 05:50:36,C:/Users/nash.l/Documents/Processed photos/point 08 phase 1 zoo/Loc_08-20161008-05-50-36-IMG_0283.jpg,Cam3,Loc_08_Cam3,6.7172068767361,0.168393895874643,426.981964099193,3.23332234023968,4,0.808330585059921,8
1234,8698,893,719,123,Hedgehog,Loc_18,2016-10-03 23:26:15,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam1-bh4)/Loc_18-20161003-23-26-15-EK000167.jpg,BH4,Loc_18_BH4,2.12682019938983,-0.131865862201517,394.753171554756,0.394887667443221,1,0.394887667443221,3
1240,8719,897,889,165,Hedgehog,Loc_18,2016-10-05 03:29:43,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam1-bh4)/Loc_18-20161005-03-29-43-EK000230.jpg,BH4,Loc_18_BH4,2.35622775360214,-0.0583668570400159,116.038786618958,0.118296523017353,1,0.118296523017353,3
1278,8837,933,680,576,Hedgehog,Loc_18,2016-10-12 01:07:57,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam2-rh7)/Loc_18-20161012-01-07-57-IMG_0111.jpg,RH7,Loc_18_RH7,2.35417817634266,-0.114840467485219,1152.77890081052,1.20786149653998,4,0.301965374134994,6
1291,8867,941,159,189,Hedgehog,Loc_18,2016-10-12 23:16:47,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam2-rh7)/Loc_18-20161012-23-16-47-IMG_0021.jpg,RH7,Loc_18_RH7,1.02122129551938,-0.328525765913072,1694.1274712103,0.702525751781484,6,0.117087625296914,10
1302,8878,943,258,336,Hedgehog,Loc_18,2016-10-13 01:01:17,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam2-rh7)/Loc_18-20161013-01-01-17-IMG_0032.jpg,RH7,Loc_18_RH7,1.34082230243932,-0.287921457766513,606.522329575974,0.339336270984783,6,0.0565560451641305,9
1312,8887,945,1390,370,Hedgehog,Loc_18,2016-10-13 01:01:53,C:/Users/nash.l/Documents/Processed photos/point 18 phase 1 (cam2-rh7)/Loc_18-20161013-01-01-53-IMG_0041.jpg,RH7,Loc_18_RH7,1.61323811390228,0.176362146495157,452.932131598168,0.298235363088305,4,0.0745588407720762,6
1358,9034,986,390,403,Fox,Loc_19,2016-10-03 20:01:45,C:/Users/nash.l/Documents/Processed photos/point 19 phase 1 (cam1-bh6)/Loc_19-20161003-20-01-45-EK000128.jpg,BH6,Loc_19_BH6,1.53703697600196,-0.274108054543482,1070.97764590607,0.731201103841367,2,0.365600551920683,3
1362,9038,988,521,607,Fox,Loc_19,2016-10-03 20:51:06,C:/Users/nash.l/Documents/Processed photos/point 19 phase 1 (cam1-bh6)/Loc_19-20161003-20-51-06-EK000132.jpg,BH6,Loc_19_BH6,2.13903211181038,-0.217470585860208,456.985776583911,0.423871597050523,1,0.423871597050523,2
